iter	Passed	Remaining
794	23770	36029
795	23797	35995
796	23825	35962
797	23853	35930
798	23881	35896
799	23908	35862
800	23936	35830
801	23966	35799
802	23990	35762
803	24017	35728
804	24045	35694
805	24074	35663
806	24100	35628
807	24126	35593
808	24156	35563
809	24183	35529
810	24211	35496
811	24239	35463
812	24263	35425
813	24291	35392
814	24316	35356
815	24342	35320
816	24372	35290
817	24397	35253
818	24424	35220
819	24455	35191
820	24481	35156
821	24508	35122
822	24535	35088
823	24563	35056
824	24589	35021
825	24616	34987
826	24644	34954
827	24670	34920
828	24697	34886
829	24726	34855
830	24754	34822
831	24782	34791
832	24809	34756
833	24836	34723
834	24864	34690
835	24892	34658
836	24919	34625
837	24950	34596
838	24977	34564
839	25005	34530
840	25033	34498
841	25059	34464
842	25086	34430
843	25111	34394
844	25140	34363
845	25172	34337
846	25207	34314
847	25241	34290
848	25353	34371
849	25490	34486
850	25603	34569
851	25721	34658
852	25856	34768
853	25898	34754
854	25978	34790
855	26027	34784
856	26059	34756
857	26086	34721
858	26114	34687
859	26140	34651
860	26167	34616
861	26196	34584
862	26225	34551
863	26253	34518
864	26280	34483
865	26307	34448
866	26335	34415
867	26365	34384
868	26392	34349
869	26420	34315
870	26451	34286
871	26476	34248
872	26502	34213
873	26530	34180
874	26557	34144
875	26583	34109
876	26609	34074
877	26637	34039
878	26663	34003
879	26689	33969
880	26715	33932
881	26744	33900
882	26770	33865
883	26798	33831
884	26824	33795
885	26849	33758
886	26878	33727
887	26908	33695
888	26935	33662
889	26965	33631
890	26992	33596
891	27019	33562
892	27047	33529
893	27077	33498
894	27102	33461
895	27128	33426
896	27153	33389
897	27182	33357
898	27208	33322
899	27236	33289
900	27262	33253
901	27289	33219
902	27315	33184
903	27340	33147
904	27370	33116
905	27397	33082
906	27424	33048
907	27455	33018
908	27481	32984
909	27508	32950
910	27538	32918
911	27566	32886
912	27591	32850
913	27619	32817
914	27645	32781
915	27671	32746
916	27698	32712
917	27725	32678
918	27753	32645
919	27778	32609
920	27806	32576
921	27833	32543
922	27861	32510
923	27890	32478
924	27918	32445
925	27948	32415
926	27975	32381
927	28000	32345
928	28027	32311
929	28054	32278
930	28081	32243
931	28107	32208
932	28134	32175
933	28162	32142
934	28189	32108
935	28216	32075
936	28244	32042
937	28272	32010
938	28298	31975
939	28326	31942
940	28355	31911
941	28381	31876
942	28405	31839
943	28434	31808
944	28463	31776
945	28490	31742
946	28518	31710
947	28546	31678
948	28575	31647
949	28602	31613
950	28629	31579
951	28657	31547
952	28683	31512
953	28710	31479
954	28738	31447
955	28766	31414
956	28793	31381
957	28821	31348
958	28847	31314
959	28873	31280
960	28899	31244
961	28927	31212
962	28955	31180
963	28981	31146
964	29009	31113
965	29036	31080
966	29062	31046
967	29088	31011
968	29114	30977
969	29143	30945
970	29169	30911
971	29196	30878
972	29224	30846
973	29249	30810
974	29275	30777
975	29303	30744
976	29331	30712
977	29360	30680
978	29385	30646
979	29414	30615
980	29441	30582
981	29468	30548
982	29495	30515
983	29522	30482
984	29549	30449
985	29576	30415
986	29605	30385
